size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,size_100kilo_bytes,price_mms,user_rating_mms,rating_count_mms
135044096,0.0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,1318.79,0.0,0.875,0.09667879684335264
55815168,2.99,7308,15,4.0,4.5,1.9.1,4+,Productivity,545.07,0.009966998899963333,0.75,0.0024564028003059156
132632576,0.0,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,1295.24,0.0,0.875,0.11529595670115222
270729216,4.99,6093,3,4.0,5.0,1.2.1,4+,Games,2643.84,0.016633887796259877,0.75,0.0020479548185936276
39827456,4.99,5452,39,4.5,4.5,2.3.1,9+,Games,388.94,0.016633887796259877,0.875,0.0018324690932622891
57328640,0.0,43064,216,3.0,2.5,3.55,4+,Finance,559.85,0.0,0.5,0.01447653945388992
40717312,0.0,64,9,4.5,5.0,4.0.5,4+,Music,397.63,0.0,0.875,2.1178784236933446e-05
141136896,0.0,220,2,4.5,5.0,9.1.10,4+,Productivity,1378.29,0.0,0.875,7.362148806172102e-05
146228224,0.0,114096,2157,4.5,4.0,3.0.3,4+,Games,1428.01,0.0,0.875,0.038355450595443194
52294656,9.99,1296,4,4.0,5.0,4.5.3,4+,Productivity,510.69,0.03330111003700124,0.75,0.00043534167598140974
16332800,2.99,1293,31,4.0,5.0,12.2,4+,Travel,159.5,0.009966998899963333,0.75,0.0004343331624463177
164382720,0.0,19946,13,4.0,2.5,7.32.3,4+,Finance,1605.3,0.0,0.75,0.006704934152470437
45712384,0.0,88613,392,4.0,4.5,6.3.1,4+,Entertainment,446.41,0.0,0.75,0.0297888004571928
16086016,0.99,107727,55,3.5,4.5,1.41.1,4+,Games,157.09,0.003300110003666789,0.625,0.03621437636044273
223805440,0.99,21416,974,4.5,4.5,1.7.2,4+,Games,2185.6,0.003300110003666789,0.875,0.007199105784665551
22159360,2.99,533,27,4.0,4.0,2.5.1,4+,Games,216.4,0.009966998899963333,0.75,0.00017884306688966021
20542280,2.99,32650,754,3.5,3.5,2.0.4,12+,Music,200.608203125,0.009966998899963333,0.625,0.010975652802406987
130637824,0.0,164963,69,3.5,4.0,8.5.1,4+,Social Networking,1275.76,0.0,0.625,0.05545546992528595
8900608,1.99,141,15,3.0,3.0,4.5,4+,Weather,86.92,0.006633554451815061,0.5,4.7063964970963215e-05
180500480,0.0,80424,46,4.0,4.5,10.11.0,4+,Shopping,1762.7,0.0,0.75,0.027035894677569818
19853312,0.99,17190,180,4.0,4.5,1.12,4+,Games,193.88,0.003300110003666789,0.75,0.00577844638489919
42926080,0.99,7973,127,4.0,5.0,1.5.95,4+,Games,419.2,0.003300110003666789,0.75,0.002679956633917991
36692992,2.99,19621,1191,4.0,4.5,2.1.2,4+,Games,358.33,0.009966998899963333,0.75,0.00659567851950213
36647936,3.99,7315,138,4.0,4.5,2.01,4+,Games,357.89,0.013300443348111604,0.75,0.002458755998554464
91697152,0.0,118,0,3.0,0.0,4.6,12+,News,895.48,0.0,0.5,3.9332027868590684e-05
51538944,0.0,290996,150,3.5,3.5,5.7.1,4+,Sports,503.31,0.0,0.625,0.09782413204803886
8302592,3.99,2785,90,4.0,4.0,1.9.0,4+,Travel,81.08,0.013300443348111604,0.75,0.0009359005605654399
430128128,6.99,54408,65,3.5,2.0,1.4.10,12+,Games,4200.47,0.02330077669255642,0.625,0.018290065301251397
69960704,9.99,8138,107,4.0,4.5,2.89,4+,Games,683.21,0.03330111003700124,0.75,0.0027354248783480546
767126,0.0,123190,68841,3.0,3.0,1.1,4+,Education,7.49146484375,0.0,0.5,0.04141259129148562
12996628,0.99,23810,582,3.5,4.0,1.5,12+,Games,126.9201953125,0.003300110003666789,0.625,0.008003899585669024
139545600,0.0,54192,32,4.0,2.0,8.0.263,4+,Sports,1362.75,0.0,0.75,0.018217452326724767
130394112,0.0,20953,481,4.0,4.0,8.1,4+,Sports,1273.38,0.0,0.75,0.007043458529083009
101925888,9.99,71609,99,4.5,4.0,11.9,12+,Music,995.37,0.03330111003700124,0.875,0.024072545740290958
52951040,0.0,32881,7,3.5,2.0,5.11.0,12+,News,517.1,0.0,0.625,0.011053308344609075
80409600,0.0,23201,14,2.5,2.0,3.9.1,17+,Social Networking,785.25,0.0,0.375,0.007799171338045333
137312256,0.0,17906,4,3.0,3.0,8.3.17,4+,Shopping,1340.94,0.0,0.5,0.006019144948607831
144412672,74.99,927,3,3.5,2.5,2.17,4+,Navigation,1410.28,0.24997499916663887,0.625,0.0003112945111650853
27746273,1.99,18920,3014,3.5,4.5,1.1.2,9+,Games,270.959697265625,0.006633554451815061,0.625,0.00636002252346895
119648256,0.99,30,0,3.0,0.0,3.1.3,4+,Finance,1168.44,0.003300110003666789,0.5,9.748964172556665e-06
119574528,0.0,77,1,3.0,4.0,3.1.3,4+,Finance,1167.72,0.0,0.5,2.5549009555665743e-05
79315968,0.0,104539,11,4.5,4.5,5.4.1,4+,Health & Fitness,774.57,0.0,0.875,0.035142662643818226
12818432,0.99,4016,1,4.0,5.0,5.7,12+,Photo & Video,125.18,0.003300110003666789,0.75,0.001349727281131552
18165760,1.99,299,28,4.0,4.5,3.1,4+,Food & Drink,177.4,0.006633554451815061,0.75,0.00010017901115247883
253834240,1.99,5758,9,4.0,3.0,2.6,12+,Games,2478.85,0.006633554451815061,0.75,0.0019353374738416802
69083136,0.0,5565,140,4.5,4.5,0.39,9+,Games,674.64,0.0,0.875,0.0018704564364174236
8573952,0.99,213092,51,3.5,4.5,1.45.1,9+,Games,83.73,0.003300110003666789,0.625,0.07163505256876801
127284224,0.0,150158,3392,4.5,5.0,5.1.4,4+,Weather,1243.01,0.0,0.875,0.050478455629606594
81374398,4.99,6046,446,4.0,4.0,1.04.10,12+,Games,794.67185546875,0.016633887796259877,0.75,0.0020321547732105186
94139392,0.0,345046,3040,4.5,4.5,4.24,4+,Navigation,919.33,0.0,0.875,0.1159941842386143
13216994,0.99,35930,262,3.5,4.0,114,12+,Games,129.07220703125,0.003300110003666789,0.625,0.01207829426744098
21010210,0.99,22557,526,4.0,4.0,1.8.7,4+,Games,205.17783203125,0.003300110003666789,0.75,0.0075826770991789015
35998720,0.99,292,1,3.0,5.0,9.3,17+,Sports,351.55,0.003300110003666789,0.5,9.782581290393069e-05
132510720,0.0,878563,8253,4.5,4.5,8.4.3,12+,Music,1294.05,0.0,0.875,0.29534722280585274
37001216,0.0,22,0,3.5,0.0,4.0.16,4+,Food & Drink,361.34,0.0,0.625,7.059594745644482e-06
64147456,0.0,10472,58,3.5,2.0,8.1,17+,Sports,626.44,0.0,0.625,0.0035200484086496844
100779008,0.0,115,70,4.0,5.0,5.0.3,17+,News,984.17,0.0,0.75,3.8323514333498615e-05
123718656,1.99,13915,205,4.5,5.0,5.1.4,4+,Weather,1208.19,0.006633554451815061,0.875,0.004677485775757015
126312448,1.99,6780,68,4.0,4.5,1.5,9+,Games,1233.52,0.006633554451815061,0.75,0.0022789044181297114
79882240,7.99,1701,35,4.0,4.5,6.06,4+,Productivity,780.1,0.02663422114070469,0.75,0.0005714910032188391
6418432,1.99,6,0,3.5,0.0,4.1.2,4+,Health & Fitness,62.68,0.006633554451815061,0.625,1.680855891820115e-06
74093568,0.0,19,0,3.0,0.0,6.4.0,4+,Utilities,723.57,0.0,0.5,6.051081210552413e-06
12937216,4.99,3483,79,4.5,5.0,5.4.3,4+,Medical,126.34,0.016633887796259877,0.875,0.0011705480430635278
53388288,0.0,2838,26,3.0,2.5,6.3.1,4+,Photo & Video,521.37,0.0,0.5,0.0009537176330187331
118498304,0.0,117889,725,3.0,4.5,3.3.3,4+,Entertainment,1157.21,0.0,0.5,0.03963054787497793
103197675,0.99,50710,309,3.5,4.0,1.6.7,9+,Games,1007.789794921875,0.003300110003666789,0.625,0.017046904283661242
